acc_num,protein,date,country,host,strain,isolate
AB731567_1,coat_protein,30_Sep_2010,South_Korea_Siheung_si,Vitis_sp_cv__Tamnara_,SHK,no_value
FR877530_2,coat_protein,04_JUL_2011,Italy,no_value,no_value,no_value
KF134123_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK30
KF134124_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK01
KF134125_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK13
KF134126_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK107
KF134127_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK53
KF134128_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK312
KF134129_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK56
KF134144_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK77
KF134145_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK08
KF134146_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK03
KF134147_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK98
KF134148_1,coat_protein,01_JUN_2014,Slovakia,Vitis_vinifera,no_value,SK31
KM491305_1,coat_protein,2010,France,Vitis_vinifera_Merlot_,no_value,Mer
KP769553_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G11s
KP769554_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G12s
KP769555_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G13s
KP769556_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G14as
KP769557_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G15as
KP769558_1,coat_protein,29_SEP_2015,Italy,Vitis_vinifera_cv_Glera,no_value,G16as
KR071599_1,coat_protein,2014,Turkey,Vitis_sp_,no_value,2CP
KR071600_1,coat_protein,2014,Turkey,Vitis_sp_,no_value,7CP
KR071601_1,coat_protein,2014,Turkey,Vitis_sp_,no_value,11CP
KR071602_1,coat_protein,2014,Turkey,Vitis_sp_,no_value,12CP
KR528581_1,coat_protein,21_May_2013,Uruguay,Vitis_vinifera,no_value,Tannat_GvPGV
KT345217_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Red_globe,no_value,LN_HDQ
KT345218_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Merlot,no_value,BJ_MLZ
KT345219_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Muscat_Hamburg,no_value,BJ_MGX
KT345221_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Muscat_Hamburg,no_value,LN_MGX
KT345222_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Cabernet_Franc,no_value,LN_PLZ
KT345223_1,coat_protein,10_Nov_2014,China,grapevine_cultivar_Moldova,no_value,LN_MRDW
KT894101_1,CP,08_Aug_2015,USA_Davis_CA,Vitis_vinifera_cv_Touriga_Nacional_grapevine_,no_value,GPGV_TN
