acc_num,protein,date,country,host,strain,isolate
AB039841_1,coat_protein,10_MAR_2000,Japan,no_value,no_value,no_value
AB222855_1,coat_protein,28_JUL_2005,Japan_Hiroshima_Higashi_hiroshima,no_value,no_value,GVA_17NM1
AB222856_1,coat_protein,28_JUL_2005,Japan_Hiroshima_Higashi_hiroshima,no_value,no_value,GVA_17NM2
AF007415_2,coat_protein,14_JUL_1997,no_value,no_value,no_value,PA3
AF441234_2,coat_protein,09_FEB_2002,no_value,no_value,no_value,92_778
AF441235_2,coat_protein,09_FEB_2002,no_value,no_value,no_value,JP98
AF441236_1,coat_protein,09_FEB_2002,no_value,no_value,no_value,P163_1
AY244516_1,coat_protein,12_AUG_2003,no_value,no_value,no_value,no_value
AY594176_1,coat_protein,04_MAY_2004,Jordan,no_value,no_value,no_value
DQ787959_1,coat_protein,03_JUL_2006,South_Africa,no_value,no_value,GTR1_1
DQ911145_1,coat_protein,25_SEP_2006,China,vitis,no_value,LQ58
EU008560_1,coat_protein,07_AUG_2007,Czech_Republic,grapevine_cultivar_Muller_Thurgau,no_value,no_value
EU008561_1,coat_protein,07_AUG_2007,no_value,grapevine_cultivar_Muller_Thurgau,no_value,no_value
FJ445219_1,coat_protein,Apr_2008,China,grape_cv_Crimson_seedless,no_value,A5
FJ445220_1,coat_protein,Apr_2008,China,grape_cv_Crimson_seedless,no_value,C995
GQ415406_1,coat_protein,25_NOV_2009,Chile,Vitis_vinifera,no_value,Cl_M61
GU084165_1,coat_protein,08_FEB_2010,Iran,Vitis_vinifera,no_value,IR_S7
HM358052_1,coat_protein,07_Oct_2009,Brazil,Planococcus_citri,no_value,PC40
HM636863_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4452_GVA
HM636864_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4449_GVA
HM636865_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4338_GVA
HM636866_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4324_GVA
HM636867_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4183_GVA
HM636868_1,coat_protein,Feb_2007,Chile,Vitis_vinifera,no_value,3653_GVA
HM636869_1,coat_protein,Feb_2009,Chile,Vitis_vinifera,no_value,5096_GVA
HM636870_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4532_GVA
HM636871_1,coat_protein,Feb_2008,Chile,Vitis_vinifera,no_value,4571_GVA
HQ671627_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_4_4_4
HQ671628_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,12_3_7_6
HQ671629_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,8_29_3_1
HQ671630_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,11_26_6_1
HQ671632_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,10_26_4_2
HQ671633_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,10_13_10_7
HQ671634_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,10_26_4_1
HQ671635_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,10_29_5_5
HQ671636_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,11_12_6_1
HQ671637_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,12_3_7_2
HQ671638_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,12_3_7_4
HQ671639_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,9_29_8_1
HQ671640_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,9_29_8_2
HQ671641_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,9_29_9_1
HQ671642_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,10_13_10_9
HQ671643_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,9_27_10_4
HQ671644_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,8_21_3_3
HQ671645_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_19_1_1
HQ671646_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_19_1_3
HQ671647_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_19_1_2
HQ671648_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,2_4_4_7
HQ671649_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,2_4_4_2
HQ671650_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_21_5_1
HQ671651_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_21_5_3
HQ671652_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_10_5_8
HQ671653_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,2_3_6_6
HQ671654_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,2_3_6_3
HQ671655_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_26_7_5
HQ671656_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_22_7_5
HQ671657_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,2_9_7_9
HQ671659_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,1_27_8_5
HQ671660_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_16_8_1
HQ671661_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_16_8_5
HQ671663_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_30_9_1
HQ671664_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,3_30_9_8
HQ671665_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,4_2_9_3
HQ671666_1,coat_protein,Dec_2009,China,Vitis_vinifera_x_Vitis_labrusca,no_value,4_7_9_8
HQ676999_1,coat_protein,2008,USA,Vitis_vinifera_cv_Merlot,no_value,2008_97
HQ677000_1,coat_protein,2008,USA,Vitis_vinifera_cv_Chenin_Blanc,no_value,2008_155
HQ677001_1,coat_protein,2008,USA,Vitis_californica,no_value,2008_162
JF754566_1,coat_protein,Nov_2009,China,grapevine,no_value,LN9
JF754567_1,coat_protein,Nov_2009,China,grapevine,no_value,LN37
JF754568_1,coat_protein,Nov_2009,China,grapevine_cv_Autumn_black,no_value,LN43
JF754569_1,coat_protein,Nov_2009,China,grapevine,no_value,LN50
JF754570_1,coat_protein,Nov_2009,China,grapevine_cv_Rosario_Bianco,no_value,LN60
JF754571_1,coat_protein,Nov_2009,China,grapevine_cv_Yatomi_Rosa,no_value,LN68
JF754572_1,coat_protein,Nov_2009,China,grapevine_cv_Renitaka,no_value,LN107
JF754573_1,coat_protein,Nov_2009,China,grapevine,no_value,LN121
JF754574_1,coat_protein,Nov_2009,China,grapevine,no_value,LN126
JF754575_1,coat_protein,Nov_2009,China,grapevine,no_value,LN136
JF754576_1,coat_protein,Nov_2009,China,grapevine_cv_Mars_Seedless,no_value,LN141
JF754577_1,coat_protein,Nov_2009,China,grapevine_cv_Golden_finger,no_value,LN155
JF754578_1,coat_protein,Nov_2009,China,grapevine_cv_Yatomi_Rosa,no_value,LN68
JN565033_1,coat_protein,28_Sep_2010,Poland,Vitis_vinifera,no_value,IH10
JN683368_1,coat_protein,2010,Egypt_Alexandria,no_value,EH1,no_value
JN683369_1,coat_protein,2010,Egypt_Alexandria,no_value,EH2,no_value
JN683370_1,coat_protein,2010,Egypt_Alexandria,no_value,EH3,no_value
JN860997_1,coat_protein,28_Sep_2010,Poland,Vitis_vinifera,no_value,IH8
JN860998_1,coat_protein,28_Sep_2010,Poland,Vitis_vinifera,no_value,IH11
JN860999_1,coat_protein,28_Sep_2010,Poland,Vitis_vinifera,no_value,IH23
JN861000_1,coat_protein,28_Sep_2010,Poland,Vitis_vinifera,no_value,IH27
JX559641_1,CP,Sep_2011,Canada,Vitis_vinifera,no_value,3138_03
KF013755_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN1
KF013756_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN1
KF013757_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN1
KF013758_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN2
KF013759_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN2
KF013760_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN2
KF013761_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN2
KF013762_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,BVPN2
KF013763_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Primitivo_CL_4,no_value,CBPR116
KF013764_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Primitivo_CL_4,no_value,CBPR116
KF013765_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Primitivo_CL_4,no_value,CBPR116
KF013766_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Primitivo_CL_4,no_value,CBPR116
KF013767_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Sami_S1,no_value,CBSM119
KF013768_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Sami_S1,no_value,CBSM119
KF013769_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Sami_S1,no_value,CBSM119
KF013770_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Sami_S1,no_value,CBSM119
KF013771_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT1
KF013772_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT1
KF013773_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT1
KF013774_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT1
KF013775_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT2
KF013776_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT2
KF013777_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT2
KF013778_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,CSOT2
KF013779_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013780_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013781_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013782_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013783_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013784_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013785_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Tamar_S1,no_value,H6TM2_3
KF013786_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS1
KF013787_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS1
KF013788_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS2
KF013789_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS2
KF013790_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS3
KF013791_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS3
KF013792_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Cabernet_Sauvignon,no_value,HHCS3
KF013793_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,HHPN1
KF013794_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,HHPN1
KF013795_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,HHPN1
KF013796_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Pinot_Noir,no_value,HHPN1
KF013797_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Chardonnay,no_value,HRPCH1
KF013798_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013799_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013800_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013801_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013802_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013803_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013804_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013805_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Zinfandel,no_value,SLWZF1
KF013806_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Lemberger,no_value,VHLM1
KF013807_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Lemberger,no_value,VHLM1
KF013808_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Lemberger,no_value,VHLM1
KF013809_1,coat_protein,2011,USA_Washington,Vitis_vinifera_cv_Lemberger,no_value,VHLM1
KF013810_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Emperor,no_value,LREP100
KF013811_1,coat_protein,2011,USA_California,Vitis_vinifera_cv_Emperor,no_value,LREP100
KF013812_1,coat_protein,2011,USA_California,Vitis_vinifera,no_value,LV94_02
KF013813_1,coat_protein,2011,USA_California,Vitis_vinifera,no_value,LV94_02
KF013814_1,coat_protein,2011,USA_California,Vitis_vinifera,no_value,LV94_02
