acc_num,protein,date,country,host,strain,isolate
AF037268_2,35_kDa_coat_protein,28_APR_1998,no_value,no_value,NY1,no_value
AJ606338_1,coat_protein,21_DEC_2004,Austria,grapevine,no_value,AUSG_5_1
AJ606339_1,coat_protein,21_DEC_2004,Austria,grapevine,no_value,AUSG_5_2
AJ606340_1,coat_protein,21_DEC_2004,Tromelin_Island,grapevine,no_value,USA
AJ606341_1,coat_protein,21_DEC_2004,Nigeria,grapevine,no_value,NIG_3_1
AJ606342_1,coat_protein,21_DEC_2004,Greece,grapevine,no_value,GR_1_1
AJ606343_1,coat_protein,21_DEC_2004,Greece,grapevine,no_value,GR_1_2
AJ606344_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,TA_3_2
AJ606345_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,TA_3_1
AJ606346_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,TA_3_3
AJ606347_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,SS_5_2
AJ606348_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,SS_5_1
AJ606349_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,MN_18
AJ606350_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,MT_38
AJ606351_1,coat_protein,21_DEC_2004,Italy,grapevine,no_value,MT_48
AJ606352_1,coat_protein,21_DEC_2004,Syria,grapevine,no_value,SY_2_3
AJ606353_1,coat_protein,21_DEC_2004,Tunisia,grapevine,no_value,TU_16
AJ606354_1,coat_protein,21_DEC_2004,Israel,grapevine,no_value,IL_1_2
AJ606355_1,coat_protein,21_DEC_2004,Israel,grapevine,no_value,IL_1_1
AJ606356_1,coat_protein,21_DEC_2004,China,grapevine,no_value,CH_5_1
AJ606357_1,coat_protein,21_DEC_2004,China,grapevine,no_value,CH_5_2
AJ606358_1,coat_protein,21_DEC_2004,Nigeria,grapevine,no_value,NIG_3_2
AY753208_1,coat_protein,13_OCT_2004,Brazil,grapevine,no_value,Pet_4
DQ062152_1,coat_protein,12_JUN_2005,Brazil,no_value,no_value,Pet_3
DQ119574_1,coat_protein,06_AUG_2005,China,no_value,no_value,Dawanhong_No_2
DQ680141_1,coat_protein,24_JUL_2006,Brazil,no_value,no_value,Pet_1
DQ680142_1,coat_protein,24_JUL_2006,Brazil,no_value,no_value,Pet_2
DQ911148_1,coat_protein,25_SEP_2006,China,vitis,no_value,SL10
EF445655_1,major_coat_protein,13_MAR_2007,France,Vitis_vinifera_cv_Muskat_Blume_Metis_Oberlin,no_value,CB19
EF508151_1,coat_protein,21_APR_2007,New_Zealand,no_value,no_value,NZ_1
EU259806_1,coat_protein,28_MAR_2008,South_Africa,no_value,no_value,GP18
EU344893_1,35_kDa_coat_protein,29_MAY_2008,Chile,grapevine,no_value,Cl_766
EU344894_1,35_kDa_coat_protein,29_MAY_2008,Chile,grapevine,no_value,Cl_817
EU344895_1,35_kDa_coat_protein,29_MAY_2008,Chile,grapevine,no_value,Cl_664
EU344896_1,35_kDa_coat_protein,29_MAY_2008,Chile,grapevine,no_value,Cl_765
GQ352631_1,coat_protein,01_AUG_2010,South_Africa,Vitis_vinifera_cultivar_Cabernet_Sauvignon,no_value,621
GQ352632_1,coat_protein,01_AUG_2010,South_Africa,Vitis_vinifera_cultivar_Ruby_Cabernet,no_value,623
